City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
119,kozmodemyansk,75,RU,1593272468,38,56.34,46.57,25.0,6.0
120,kampong thum,90,KH,1593272469,91,12.71,104.89,25.7,1.23
121,padang,86,ID,1593272471,76,-0.95,100.35,26.12,2.39
122,luganville,87,VU,1593272472,87,-15.53,167.17,24.99,5.47
123,mulchen,90,CL,1593272472,100,-37.72,-72.23,9.0,3.1
124,port hedland,0,AU,1593272473,55,-20.32,118.57,17.0,3.6
125,san cristobal,40,VE,1593272473,66,7.77,-72.22,29.0,2.1
126,maceio,75,BR,1593272474,78,-9.67,-35.74,27.0,3.1
127,podosinovets,69,RU,1593272474,82,60.28,47.07,12.57,5.66
128,bristol,1,US,1593272475,39,41.83,-71.17,29.44,2.6
129,olinda,40,BR,1593272475,74,-8.01,-34.86,28.0,4.1
130,katsuura,81,JP,1593272476,86,35.13,140.3,23.89,6.21
131,sovetskiy,61,RU,1593272476,62,61.36,63.58,12.87,1.42
132,nhulunbuy,40,AU,1593272477,94,-12.23,136.77,23.0,2.6
133,gavrilovka vtoraya,0,RU,1593272477,80,52.88,42.77,21.61,4.89
134,juazeirinho,0,BR,1593272478,37,-6.82,-38.05,32.33,2.07
135,broome,100,US,1593272479,93,42.25,-75.83,17.78,4.03
136,tyukalinsk,100,RU,1593272484,94,55.87,72.2,10.35,6.82
137,geraldton,75,AU,1593272485,72,-28.77,114.6,19.0,6.2
138,ukiah,1,US,1593272485,72,39.15,-123.21,20.0,1.5
139,necochea,100,AR,1593272486,90,-38.55,-58.74,7.22,1.79
140,rio tercero,0,AR,1593272486,43,-32.17,-64.11,12.78,0.45
141,nanortalik,98,GL,1593272487,86,60.14,-45.24,5.78,0.21
142,namatanai,100,PG,1593272487,84,-3.67,152.43,25.74,2.36
143,narsaq,40,GL,1593272488,66,60.92,-46.05,10.0,2.6
144,hilo,90,US,1593272488,73,19.73,-155.09,24.0,2.1
145,dire,30,ML,1593272489,34,12.28,-10.97,36.41,2.61
146,severo-kurilsk,40,RU,1593272490,63,50.68,156.12,9.25,4.78
147,yakeshi,6,CN,1593272490,67,49.28,120.73,14.56,1.18
148,russell,40,US,1593272491,58,32.35,-85.2,30.0,2.07
149,saskylakh,0,RU,1593272491,68,71.92,114.08,11.51,4.13
150,ilulissat,75,GL,1593272492,86,69.22,-51.1,3.0,2.1
151,torbay,90,CA,1593272492,93,47.67,-52.73,17.22,1.0
152,ipora,6,BR,1593272493,36,-16.44,-51.12,29.27,2.47
153,paamiut,99,GL,1593272493,88,61.99,-49.67,4.57,1.56
154,lebedinyy,100,RU,1593272494,75,58.52,125.52,13.74,1.81
155,pisco,90,PE,1593272494,88,-13.7,-76.22,17.0,1.0
156,souillac,75,MU,1593272495,78,-20.52,57.52,23.0,5.1
157,taltal,16,CL,1593272496,49,-25.4,-70.48,18.59,1.64
158,klaksvik,97,FO,1593272496,100,62.23,-6.59,13.0,1.0
159,omboue,85,GA,1593272497,75,-1.57,9.26,23.99,4.52
160,bicholim,100,IN,1593272497,85,15.59,73.95,27.09,1.32
161,olafsvik,99,IS,1593272498,78,64.89,-23.71,11.16,6.77
162,ixtapa,75,MX,1593272498,78,20.7,-105.2,28.89,2.1
163,coahuayana,90,MX,1593272499,73,18.73,-103.68,24.0,0.58
164,eha amufu,65,NG,1593272499,79,6.66,7.76,28.63,1.79
165,nisia floresta,75,BR,1593272500,78,-6.09,-35.21,27.0,3.6
166,acari,34,PE,1593272500,41,-15.43,-74.62,23.02,3.24
167,sombrerete,100,MX,1593272501,71,23.63,-103.65,17.14,1.18
168,sechura,17,PE,1593272502,61,-5.56,-80.82,22.78,3.98
169,victoria,91,HK,1593272502,74,22.29,114.16,30.0,2.24
170,benemerito de las americas,52,MX,1593272503,68,16.52,-90.64,28.59,1.64
171,nizhniy tsasuchey,30,RU,1593272503,45,50.52,115.13,20.12,1.69
172,bhimunipatnam,40,IN,1593272504,79,17.88,83.43,30.0,4.1
173,la ronge,75,CA,1593272505,77,55.1,-105.28,18.0,1.0
174,bone,36,DE,1593272505,46,51.97,12.14,29.44,2.68
175,pangkalanbuun,100,ID,1593272506,96,-2.68,111.62,22.8,0.93
176,fano,0,IT,1593272506,37,43.82,13.01,30.0,5.1
177,lata,69,PT,1593272507,55,40.16,-8.33,27.78,4.52
178,meadow lake,20,US,1593272507,17,34.8,-106.54,28.89,2.1
179,yinchuan,100,CN,1593272508,65,38.47,106.27,21.28,0.94
180,kuruman,0,ZA,1593272508,42,-27.45,23.43,10.36,4.27
181,port elizabeth,7,ZA,1593272509,39,-33.92,25.57,22.0,7.7
182,kotar,85,IN,1593272509,55,24.72,80.98,29.79,5.84
183,huanuni,0,BO,1593272510,32,-18.27,-66.85,8.31,4.48
184,bundaberg,2,AU,1593272510,82,-24.85,152.35,13.33,2.6
185,ferrol,40,ES,1593272516,73,43.48,-8.24,21.11,4.1
186,quatre cocos,75,MU,1593272516,78,-20.21,57.76,23.33,5.1
187,arraial do cabo,0,BR,1593272517,61,-22.97,-42.03,30.0,4.6
188,belaya gora,20,RU,1593272517,45,68.53,146.42,13.52,5.0
189,pacocha,24,PE,1593272518,61,-17.58,-71.33,19.13,2.66
190,sychevka,71,RU,1593272519,80,55.83,34.27,22.76,4.35
191,guerrero negro,0,MX,1593272520,60,27.98,-114.06,21.81,1.3
192,semey,40,KZ,1593272520,30,50.41,80.23,27.0,10.0
193,broken hill,0,AU,1593272521,67,-31.95,141.43,6.7,3.21
194,ayan,93,RU,1593272521,94,56.45,138.17,7.22,2.91
